Date,Uplink,Downlink,RTT
2023-25-04 15:44:26,850035.5680111491,0.0,
2023-25-04 15:47:57,1229606.9136877968,0.0,
2023-25-04 15:49:11,448433.4936540052,0.0,
2023-25-04 15:51:51,855438.8701850552,4454124.616278768,23.988
2023-25-04 15:55:59,894312.0009862736,3348314.959311132,34.0919
2023-25-04 22:41:12,67009362.05816657,71245239.09506482,
2023-25-04 22:52:32,37548442.93196976,16644743.776167424,31.1249
2023-25-04 22:56:16,32237366.16450157,19895283.415603887,29.9888
2023-25-04 22:58:24,33827661.405829914,19382869.9654181,24.0585
2023-25-04 23:01:03,26258620.381312154,13465468.183808347,26.5667
2023-25-04 23:02:47,20981110.424478907,26023146.82389936,23.9125
2023-25-04 23:05:16,6235294.047229277,15748717.271839475,24.3687
2023-25-04 23:11:46,34880340.01626594,18917334.228435017,28.5473
2023-25-04 23:13:31,48100369.28162448,10751832.631880032,
2023-25-04 23:14:52,16588274.75336271,15375892.463292977,
2023-25-04 23:21:44,10477896.49160317,15440221.032365412,
2023-25-04 23:23:13,22104021.653998774,20860128.33841533,
2023-25-04 23:24:17,36760330.26712782,26001069.44119156,31.3787
2023-26-04 09:06:18,819182.6782621938,2392019.989170358,29.2829
2023-26-04 09:07:18,762609.5355685191,3088398.484566573,38.768
2023-26-04 09:08:32,703807.2772782824,4184981.02489172,25.7058
2023-26-04 09:42:19,1665942.6628941533,2604950.559187067,14.0335
2023-26-04 09:43:41,773975.866865602,1523990.7540590912,16.262
2023-26-04 09:47:27,2089123.112391591,1483274.0256179364,26.749
2023-26-04 09:58:10,1502549.5405488538,1359550.8038628823,30.0868
2023-26-04 10:09:04,1081409.6310024683,1071293.3588741648,33.1205
2023-26-04 10:19:50,405449.67657050607,1059083.0999834952,30.7368
2023-26-04 10:40:58,1379468.2791428445,0.0,
2023-26-04 10:51:43,0.0,0.0,
2023-26-04 11:02:35,847471.8592361895,1458198.2808480086,
2023-26-04 11:14:55,1504373.455203415,1459064.1168239675,
2023-26-04 11:25:35,1120347.1381115548,6835826.038431697,
2023-26-04 11:36:19,947291.4445168218,3505008.645494782,
2023-26-04 11:47:02,1178298.729849958,3832424.217113658,
2023-26-04 12:08:20,1265681.0636565012,0.0,
2023-26-04 12:19:05,0.0,0.0,
2023-26-04 12:29:51,0.0,0.0,
2023-26-04 12:40:31,0.0,0.0,
2023-26-04 12:51:15,0.0,0.0,
2023-26-04 13:02:00,0.0,0.0,32.306
2023-26-04 13:18:42,27005.63080456591,1290862.3693049054,
2023-26-04 13:29:22,1061088.7372809078,1746959.6274381443,
2023-26-04 13:40:05,888754.43049179,1018204.097023374,
2023-26-04 13:50:51,1790097.8982288537,885708.5990125008,
2023-26-04 14:01:33,890000.4485310607,869735.825885897,
2023-26-04 14:12:22,927176.3029144928,792956.2281892739,
2023-26-04 14:22:57,30990.177631014205,1299479.460971553,
2023-26-04 14:33:37,505228.2700662461,1161936.439459505,
2023-26-04 14:44:30,885167.1463941089,857827.1950778833,
2023-26-04 14:58:10,2287198.436054196,2744028.141589464,
2023-26-04 14:59:56,2795354.99741852,810354.9209193115,
2023-26-04 15:10:32,3223191.47574524,3845018.077272132,
2023-26-04 15:21:08,2830943.955449306,3742352.414009671,
2023-26-04 15:31:43,1384958.5738943936,4694087.922385811,
2023-26-04 15:42:19,1744950.9421974376,4901334.671680145,
2023-26-04 15:52:55,4509636.8627679,4093163.48341309,
2023-26-04 16:03:31,4818271.578797612,4834425.6310271,
2023-26-04 16:14:07,3055437.907662135,4940513.246385547,
2023-26-04 16:24:43,2605087.0854064114,3758911.9834704967,0.0
2023-26-04 22:38:31,2879183.7319917963,18987658.9886518,
2023-26-04 22:40:17,1199258.390582861,14132504.75487422,
2023-26-04 22:46:54,21583239.94121967,17737141.766785298,30.2901
