Date;Uplink;Downlink;RTT;Delay;Availebility;Jitter
2023-27-04 11:46:33;2893294.2906161807;3985288.904856236;27.3905;;;
2023-27-04 14:24:27;654077.8675626394;630167.6647304728;140.8904;;;
2023-27-04 14:51:22;2138895.225366669;3713303.499665455;26.6527;;;
2023-27-04 14:53:07;1581484.9286485054;2642603.406834236;25.4984;;;
2023-27-04 15:04:40;915860.365757096;2921528.298391089;38.9191;;;
2023-27-04 15:05:59;1090902.4366724305;2767383.41691603;24.4251;;;
2023-27-04 15:15:54;15847712.90875123;112252474.58000906;6.338;;;
2023-27-04 15:26:38;5948352.505982861;159473681.8656184;19.355;;;
2023-27-04 15:37:18;7847490.948708097;95689612.2510712;8.787142857142857;;;
2023-27-04 15:48:00;7645739.503861529;393365514.7397798;10.13;;;
2023-27-04 15:58:40;9280405.074259318;132366917.41341248;7.82;;;
2023-27-04 16:09:24;5525527.956910977;32324308.961389385;7.921;;;
2023-27-04 16:20:04;14907360.706832305;2011862.6994901968;17.404;;;
2023-27-04 16:21:28;123774411.31401296;490379850.0081132;7.714;;;
2023-27-04 16:32:08;78533740.42591824;794402740.1317016;7.471111111111111;;;
2023-27-04 16:42:51;125339869.61031853;165676944.18904474;9.574;;;
2023-27-04 16:53:34;122627905.52268893;768058620.7277666;12.083;;;
2023-27-04 17:04:14;115209657.32164696;793678958.1188829;18.06;;;
2023-27-04 17:14:55;83439482.93385069;776432320.2153167;10.338;;;
2023-27-04 17:25:38;64280061.458076574;790918934.9822508;11.977;;;
2023-27-04 17:36:18;114095439.54277676;240728103.5716941;8.282857142857143;;;
2023-27-04 17:46:58;121510316.30981857;341411575.6623209;7.343;;;
2023-27-04 17:57:38;75845695.18734153;793113724.7308203;11.586;;;
2023-27-04 18:08:18;111082548.07865769;775115344.4061105;16.857142857142858;;;
2023-27-04 18:18:59;91867297.58182812;755614057.8953989;8.164;;;
2023-27-04 18:29:39;69908728.06384324;782345316.0138086;8.465;;;
2023-27-04 18:40:18;112250170.2333712;171548338.2991438;7.294285714285714;;;
2023-27-04 18:50:59;125124702.26167962;177052823.48963308;11.251;;;
2023-27-04 19:01:39;74288161.83625717;736061958.9051129;10.511;;;
2023-27-04 19:12:19;113802019.20254168;759645660.0386761;9.42125;;;
2023-27-04 19:23:00;122100860.94058402;641361519.2733411;13.169;;;
2023-27-04 19:33:40;77337539.73607543;760593491.0078704;7.734;;;
2023-27-04 19:44:19;125220722.44358867;756704676.1281601;7.3;;;
2023-27-04 19:55:00;78833823.58111237;762339611.5407665;7.921;;;
2023-27-04 20:05:40;67186926.04206315;700170902.8986884;16.92;;;
2023-27-04 20:16:20;113420608.28877604;711144803.3325725;18.36125;18.36125;18.36125;18.36125
2023-27-04 20:27:01;80515544.59728575;149776440.2219121;15.509;15.509;15.509;15.509
2023-27-04 20:37:41;63544117.48895744;680008919.6923921;12.115;12.115;12.115;12.115
2023-27-04 20:48:24;123258246.25049472;558329243.9955076;15.741;15.741;15.741;15.741
2023-27-04 20:59:04;122219735.84349357;756997204.8886358;15.073;15.073;15.073;15.073
